name,category,description,prep_time,cook_time,serves,ingredients,instructions,calories,fat,carbohydrates,protein,fibre,vitamin_a,iron,zinc,ingredients_2,instructions_2,id
"Mukimo (Maize, Beans, Potatoes & Pumpkin Leaves)",mashed dishes,"This recipe is a family dish common among the Kikuyu, Meru and Embu communities. It is served mainly
for lunch or dinner.",15,60,4,"10 potatoes, unpeeled, Irish, white (1386 g);9 stalks (81 g) pumpkin leaves, raw;7 �� cups (1182 g) white maize and kidney
beans, cooked;4 2/3 cups (999 g) water;2 �� tsp. (13 g) salt, iodized","Peel, wash and cut the potatoes.;Cut the pumpkin leaves.;Meanwhile, measure 7 �� cups of previously
boiled maize and beans mixture (the ratio of
maize to beans is 1:2).;Put all the water into the empty cooking vessel.
Add potatoes and salt.;Boil the potatoes for 20 minutes and add the
cut pumpkin leaves. Cover the pot and cook
for 2 minutes.;Add the cooked maize-bean mixture and cover
to cook for 20 minutes.;Remove from heat and mash the mixture.;Serve while hot.",119,0.7,20.5,5.0,4.8,4,2.0,0.74,,,11
"Mukimo wa Njahi (Black Beans, Green Bananas & Potatoes)",mashed dishes,"This is a delicacy among the Kikuyu community particularly in Nyeri. Commonly referred to as ��Mukimo
wa Njahi��, this dish was traditionally prepared for lactating mothers and during occasions like dowry ceremonies.
In modern times it remains important as a family dish mainly served during lunch or dinner.",20,240,4,"6 (1.2 kg) potatoes, unpeeled, Irish, raw;6 green bananas, unpeeled, raw (1 kg);2 �� cups (497 g) njahi, dolichos lablab,
raw, dry;25 �� cups (5611 g) water;4 tsp. (20 g) salt, iodized","Boil 2 �� cups of njahi (dolichos lablab) in 21 cups of
water for 3 hours.;Peel and wash the potatoes and green bananas in separate
bowls, chop them.;Put the rest of the water into a separate cooking pot.;Add the chopped potatoes, green bananas and salt.;Boil for 10 minutes.;Add the cooked black beans, cover and cook for 20
minutes.;Remove from fire and mash.",166,0.6,26.5,9.5,7.2,0,3.2,1.06,,,12
Ashir,maize dishes,"This dish is typical to the Boranas. A delicious meal of huskless maize mixed with milk. The husks are
removed prior to cooking by pounding with a mortar and pestle. The mixture is boiled with added sugar
and salted for a tantalizing taste.",10,135,4,"8 � cups (1536 g) pounded maize, white, de-germed;13/4 cups (414 g) cow milk;6 � tbsp. (88 g) sugar;1 � tsp. (12 g) salt, iodized;29 2/3 cups (6430 g) water","Sort and wash the pounded maize.;Put all the water in the cooking pot and add the pounded maize.;Put it on heat and boil.;Boil for 2 hours, remove from heat and strain excess water.;After draining water put back on the heat, add salt, sugar, milk and stir.;Simmer for 10 minutes and serve.",126,0.9,25.8,2.7,1.2,5,0.2,0.21,,,13
Githeri (Fresh Beans and Maize),maize dishes,"Stewed fresh maize and beans is commonly known as Githeri. This is a variant of the Githeri dishes that
uses fresh maize and beans. It is popular among communities in agricultural areas such as Eastern, Central
and Western. This recipe is common during the season when maize and beans are green about a month
to harvesting. It is usually served as a main dish in most communities and as a breakfast dish among the
Luhya communities.",120,20,4,"4 green maize cobs with kernels, (2 kgs);2.5 kg bean pods, red;9 � cups (2005 g) water;1 stem (140 g) spring onion, unpeeled;1 � cups (187 g) cooking fat;5 � tsp. (28 g) salt, iodized","Remove fresh beans from pods. Put in a bowl or container.;Remove maize cobs with kernels from the husks.;Remove maize kernels from the cobs by hand.;Mix and wash the maize and beans.;Boil in 9 � cups of water for 2 hours until cooked.;Prepare the onions and chop into a separate bowl.;Stewing:;Heat cooking fat into a pan and add the spring onions.;Cook the spring onions until they soften.;Add the boiled maize-beans mixture. Cover with a pan.;Add salt and continue cooking while stirring periodically;Once ready, remove from fire and serve.",179,7.6,15.1,7.8,10.4,6,1.7,1.21,,,14
Githeri (Stewed Maize & Beans),maize dishes,"This is yet another variant of githeri. It is mainly prepared using dry maize and beans. It is common among
most communities in Western, Central, Eastern and Rift Valley parts of Kenya. This variant of githeri is one
among the most common staples in Kenya. It is mostly eaten as a main dish during lunch time and dinner
by the entire family. It is well balanced in nutrients and is considered complete on its own.",10,15,4,"11 cups (1730 g) maize and beans, dry, boiled;1 onion, red skinned, raw, unpeeled (132 g);1/3 cup (69 g) cooking oil;3 tsp. (14 g) salt, iodized;13/4 cups (389 g) water","Measure 11 cups of previously boiled maize and beans mixture (the ratio of maize to beans is 1:2).;Prepare, wash and chop the onion.;Pour oil in a cooking pot over fire, add onions and cook for 2 minutes and add salt.;Add the boiled maize-bean mixture.;Stir and add 1 3/4 cups water.;Cover and let the mixture to cook for 10 minutes.;Serve while hot.",158,4.2,19.7,6.7,7.2,0,2.2,1.01,,,15
Mchuzi wa Maharagwe (Bean Stew),legume dishes,"The ancient bean stew is chief among the legume stews in Kenya. Different varieties of beans are used to
prepare bean stew by different communities depending on availability. Most communities in Kenya utilize
bean stew as an accompaniment to starchy dishes such as Ugali, rice or chapatti. It is commonly eaten for
lunch or dinner.",160,30,4,"2 2/3 cups (462 g) beans, kidney, dry;10 3/4 cups (2333 g) water;1 tomato, red, raw (140 g);1 onion, red, raw (92 g);� cup (40 g) cooking oil;2 � tsp. (13 g) salt, iodized;9 stalks (56 g) coriander;","Boil all the beans in 9 cups of water for 2 hours 30 minutes;Prepare and cut the vegetables (coriander leaves, tomatoes and onions) into small pieces in separate bowls.;In a pot, add � cup of oil and turn on the heat.;Add the onions and cook for 7 minutes in a covered pan on low heat.;After 10 minutes, add the tomatoes and cook while stirring to mix.;Add the coriander leaves and mix then add the beans.;Add 1 3/4 cups of water followed by 1 tbsp. salt and cover the pot for 5 minutes. Stir to mix.;Cover the vessel and cook for 4 minutes.;Serve hot",63,1.4,7.2,3.5,3.7,4,1.0,0.44,,,16
Mchuzi wa Ndengu Kamande (Lentil Stew),legume dishes,Lentil stew is made from lentil grains which give a characteristic taste to the dish. It is quite aromatic and provides the desired fragrance as an accompaniment to starch dishes such as rice and chapatti. It is usually served during lunch or dinner and is common in most parts of the country.,60,20,6,"2 1/3 cups (466 g) lentils, dry, raw;11 2/3 cups (2541 g) water;2 onions, red skinned, raw, unpeeled (161 g);2 tomatoes, red, raw (258 g);1/3 cup (63 g) cooking oil;3 tsp. (15 g) salt, iodized",<preparation>: Sort and wash all the dry lentils. Put in a cooking pot and boil in 9 cups of water for 1 hour.;Remove from heat and set aside.;Wash and cut tomatoes and onions in separate bowls.,109,3.0,11.1,7.1,4.5,3,2.0,0.93,,<stewing>: Add cooking oil into the vessel and heat for 1 minute.;Add onions and cook for 6 minutes.;Add tomatoes and salt.;Cook for 7 minutes while stirring to mix.;Add the pre-boiled lentils and mix.;Add 2 2/3 cups of water.;Cover the vessel and cook for 6 minutes.;Remove from heat and serve.,17
Mchuzi wa Ndengu (Green Gram Stew),legume dishes,"Green gram stew is one of the most common legume stews in Kenya. Eaten across the country, it serves
as an accompaniment to starches such as Ugali, rice or chapatti. Sometimes green grams (or Ndengu
as they are commonly known) are used as a key ingredient in making rice dishes as well as mashed with
infant dishes.",60,30,4,"2 � cups (544 g) green gram, dry, raw;10 3/4 cups (2337 g) water;1 onion, red skinned, raw, unpeeled (118 g);2 tomatoes, red, raw (155 g);7 tbsp. (84 g) cooking oil;2 � tsp. (13 g) salt, iodized","Sort and wash all the green grams.;Add the raw green grams to a cooking pot and boil in 8 cups of water for 51 minutes.;Drain and discard the excess water.;Peel, wash and chop the onion and tomatoes.;",109,4.2,9.3,6.3,4.0,4,1.6,0.57,,"<stewing>: Add oil to a cooking pot and heat for 2 minutes.;Add the onions.;Add the onions.;Cook onions for 3 minutes and then add the tomatoes.;Cook for another 3 minutes and then add the
boiled green grams.;Add 2 3/4 cups of water. Add salt and mix.;Cover the vessel and cook for 14 minutes.;Remove from heat and serve.",18
Beef Stew,"meats, fish & eggs","Beef stew is the most common animal protein based stew in Kenya. It is prepared in different ways with
the standard ingredients featured in this recipe. It is usually eaten with starchy dishes such as Ugali, rice,
potatoes, chapatti or mashed dishes. It is more common in urban areas than in rural areas. Often, it is
served for lunch or dinner and is relished by the entire family.",10,25,4,"1 kg beef, medium fat, without bone, raw;2 onions, red skinned, raw, unpeeled (164 g);3 tomatoes, red, ripe (304 g);� tsp. (3 g) salt, iodized;1� tbsp. (20 g) cooking oil;3 1/8 cups (682 g) water","Peel, wash and chop the onions and the tomatoes into separate bowls.;Cut beef into small pieces and wash.;Boil the meat in all the water until tender. Turn off the heat, strain the remaining water and place the meat in a separate bowl.;Heat cooking oil in a cooking pot for 1 minute.;Add onions and cook until soft.;Add tomatoes and salt and cook until soft;Add the boiled meat and stir.;Add the liquid drained from boiling the meat, stir and cover to cook for 8 minutes.;Turn off the heat.;Serve.",181,10.4,3.8,17.7,0.8,14,11.2,3.48,,,19
Stir Fried Goat Meat,"meats, fish & eggs","In most cases goat meat is stir fried rather than stewed. It is common in many communities across the
country. It is eaten with starchy dishes including rice, Ugali among others.",7,100,4,"1 kg meat, goat, medium fat, raw;1 onion, red skinned, raw, unpeeled (106 g);3 tomatoes, red, ripe, chopped (336 g);1/8 cup (27 g) cooking oil;1 � tsp. (7 g) salt, iodized;2 � cups (494 g) water","Cut the goat meat into small pieces.;Add the meat, all the water and salt into a cooking pot. Bring the mixture to a boil.;Meanwhile, prepare and cut the onions and tomatoes into separate bowls.;Add the onions and continue boiling.;When all the water has dried, add oil and stir.;Add tomatoes and stir.;Simmer until ready.;Serve while hot",382,23.3,10.4,32.1,1.7,42,4.1,5.74,,,20
Stir Fried Beef,"meats, fish & eggs","Stir fried beef is common across many communities in Kenya even though it is more popular among urban
dwellers than rural dwellers. It is eaten with starchy foods such as Ugali, rice, potatoes or bananas. Often,
it is enjoyed by the entire family and served during lunch or dinner.",10,60,4,"1 kg beef, raw, medium fat;3 cups (646 g) water;2 onions, red skinned, raw, unpeeled (176 g);3 tomatoes, red, ripe (295 g);3 tbsp. (36 g) cooking oil;1 � tsp. (7 g) salt, iodized","Cut the beef into small pieces.;Peel, wash and chop the onions and tomatoes into separate bowls.;Put the meat into a cooking pot, add 3 cups of water and boil for 1 hour.;Strain the remaining liquid and keep separately.;Heat oil in a cooking pot, add onions and cook until golden brown.;Add tomatoes and cook until tender.;Add salt and meat then stir and cook for 7-10 minutes.;Add half of the strained water then stir and cover to cook for 30 minutes.;Add the rest of the strained water and cook until all the water dries.;Turn off the heat.;Serve hot.",255,14.1,5.0,26.7,1.0,19,16.4,5.13,,,21
Ingokho (Stewed Chicken),poultry,"Stewed chicken is common among many communities in Kenya. It has different names but ingokho stands
out due to the way this dish is special to the Luhya community. It is eaten as a protein to a main meal and
served with Ugali or any other starch. It is savoured by the entire family.",15,75,4,"1.4 kg chicken, whole;2 red skinned onions, raw, unpeeled, (219g);� green capsicum (187 g);2 tsp. (11 g) salt, iodized;4 tomatoes, red, ripe (504 g)","Light a charcoal stove. Put a mesh over the fire to singe any thin feathers and lightly brown the skin of the chicken.;After 12 minutes, cut the chicken into large chunks and continue roasting for another 5 minutes or until ready. Remove from the fire.;Cut the chicken into smaller portions and return the pieces onto the fire for another 11 minutes.;Put the chicken onto a heated pan. Cook the chicken without added oil/ fat to brown further. Keep turning for the chicken to cook evenly.;Add salt to the chicken and keep turning.;Add the whole green capsicum into the pan with chicken. Turn the stove to low heat and let it simmer for 9 minutes.;Prepare the onions and tomatoes. Chop into small pieces in separate bowls.;Add the onions, cover and continue cooking for another 25 minutes.;Remove the whole green capsicum from the pot and immediately add tomatoes.;Continue cooking for another 13 minutes.;Remove from the fire.;Serve",211,12.3,6.4,18.3,1.1,63,2.7,1.01,,,22
Ingokho (Fried Chicken),poultry,"Ingokho as it is commonly known among the Luhya community is such a special delicacy. Traditionally, it
was eaten during special occasions such as dowry ceremonies. In modern practice, fried chicken is eaten
as part of a main meal served during lunch or supper. It is relished by the entire family and can be eaten
with Ugali, chapatti, or any other starch.  ",10,60,4,"1.3 kg whole chicken;2 tsp. (10 g) salt, iodized;3 1/8 cups (623 g) cooking oil",Cut the chicken into large chunks.;Wash the meat.;Place a pan on fire and add oil.;Add salt to the chicken and rub in.;Heat oil for 6 minutes.;Gently place the chicken pieces into the pan and turn every 3 minutes until the skin is golden brown.;Serve hot.,530,35.3,9.1,44.6,0.0,134,5.6,2.13,,,23
Aluru (Stewed Quails),poultry,"Stewed quails commonly known as Aluru is a traditional dish typical to the Luhya and Luo communities.
Aluru was prepared during special occasions. It is commonly known as Likhanga among the Luhya community.  ",12,60,4,"3 quails, whole (507 g);2 tomatoes, red, ripe (196 g);1 onion, red skinned, raw, unpeeled (76 g);2 tsp. (10 g) salt, iodized;2 cups (517 g) cow s milk;3 � cups (679 g) cooking oil",Roast the quails for 10 minutes and remove the innards.;Add 3 cups of cooking oil onto a clean dry pot and heat.Put in the quails and fry for 11 minutes.Remove and use paper towels to drain the oil.Wash and chop the onion and tomatoes and place into separate bowls.Add � a cup of cooking oil into a separate cooking pot and the chopped onions.Cook until golden brown then add the tomatoes.Cook it for 3 minutes or until the tomatoes are tender.Add salt and stir. Cook for 5 minutes.Add milk followed by the fried quails.Cover and cook for 12 minutes.Remove from heat and serve.,193,14.2,5.2,11.3,0.6,51,1.6,1.24,,,24
Sukuma Wiki (Stir-fried Kales),vegetable dishes,"Sukuma wiki is the most commonly used green vegetable in Kenya. It is commonly served with Ugali as a
side dish.",15,20,4,"sukuma wiki leaves raw (2667 g);2 tomatoes, red, ripe (345 g);1 onion, red skinned, raw, unpeeled (184 g);� cup (45 g) cooking oil;� tsp. (3 g) salt, iodized","Wash the sukuma wiki and then remove the stalks.;Roll up a handful of sukuma wiki leaves into a bunch and chop them finely.;Wash, prepare and cut the onion and tomatoes separately.;Place a cooking pot on the fire. Add cooking oil.;Cook the onion until golden brown.;Add tomatoes into the pot.;Cook tomatoes until ready.;Add the chopped sukuma wiki and salt.;Stir until evenly mixed.;Simmer over low heat for 5 minutes.;Serve hot.",54,3.2,2.1,2.5,3.8,112,2.3,0.42,,,25
Stir-fried Cabbage,vegetable dishes,Stir fried cabbage is common in many communities in Kenya. It is served with various starchy dishes as a side dish.,10,15,4,"1124 g cabbage, white, raw;� onion, red skinned, raw, unpeeled (139g);� cup (83 g) cooking oil;2 � tsp. (12 g) salt, iodized",Prepare and cut the onions and the cabbage into separate bowls.;Add the cooking oil into a cooking pot over fire and then put the chopped onions. Stir the onion and cook for 2 minutes.;Add the cabbage and stir.;Add salt and continue to stir the cabbage to cook it evenly.;Cook for an additional 5 minutes.;Remove and serve.,98,8.6,3.1,1.2,2.4,0,0.6,0.24,,,26
Mrenda and Seveve (Jute Mallow & Pumpkin Leaves),vegetable dishes,"This blend of mrenda and pumpkin leaves is a traditional vegetable dish among the Luhya community.
It is usually served with Ugali.",15,30,4,"316 g jute mallow leaves, raw;74 g pumpkin leaves, raw;1 onion, red skinned, raw, unpeeled (75 g);� tsp. (3 g) salt, iodized;2/3 cup (134 g) water;1 tomato, red, ripe (145 g);1 � cups (410 g) cow s milk","Wash and pluck the leaves from the stalks of the jute mallow.;Wash and chop the pumpkin leaves.;Prepare, wash and cut the onion and tomato into separate bowls.;Boil all the water and put the leafy vegetables into the boiling water and cook on low heat for 5 minutes.;Stir the vegetables; add salt, onion and tomato.;Cook for 5 minutes and then add all the milk.;Stir and cook for another 5 minutes.;Serve.",60,2.3,5.4,3.4,2.0,72,1.8,0.62,,,27
Stewed Potatoes & Arrowroots,root & banana dishes,"Stewed arrowroots is a nostalgic dish traditional to the arrowroot growing regions. The Kikuyu, Meru and
Embu communities are key to this recipe. It is eaten as a main meal during lunch or supper and is relished
by the entire family.",15,60,4,"9 potatoes, unpeeled, Irish, white (1 kg);3 arrowroots, unpeeled, raw (1.7 kg);6 green bananas, unpeeled, raw (1.2 kg);1 onion, red skinned, raw, unpeeled (185 g);3 tomatoes, red, ripe (511 g);1/3 cup (69 g) cooking oil;3 tsp. (15 g) salt, iodized;7 cups (1534 g) water","Peel and wash the potatoes, arrowroots, onions and tomatoes.;Cut the washed ingredients into cubes in separate bowls.;Peel and wash the bananas and keep them in a separate bowl with water (this water is not for cooking but to prevent bananas from browning).;Heat the cooking oil in a cooking vessel for 2 minutes and add onions, cook for 12 minutes until golden brown.;Add tomatoes and cook for 8 minutes.;Add the salt and stir.;Add the chopped potatoes and stir.;Add 4 cups of water and cook for another 4 minutes.;Add cut arrowroots and cover to cook for 17 minutes.;Add the bananas and 3 cups of water then stir and let to it cook for 13 minutes. Serve.",91,2.1,15.0,1.9,1.8,3,0.9,0.44,,,28
